year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.1,9.0,9.2,,,291826,POINT(-149.111113424 61.149868731),HLTHOUT,CASTHMA,203000,,Current Asthma
2015,US,United States,,US,BRFSS,Health Outcomes,59,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.6,8.9,,,308745538,,HLTHOUT,CASTHMA,,,Current Asthma
2015,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.3,9.1,9.5,,,69772,POINT(-118.201648375 33.9239616867),HLTHOUT,CASTHMA,644574,,Current Asthma
2015,CA,California,Manteca,City,BRFSS,Health Outcomes,0645484,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.0,8.9,9.1,,,67096,POINT(-121.231230612 37.7961925102),HLTHOUT,CASTHMA,645484,,Current Asthma
2015,CA,California,Menifee,City,BRFSS,Health Outcomes,0646842,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.6,8.5,8.7,,,77519,POINT(-117.18487699 33.6909533045),HLTHOUT,CASTHMA,646842,,Current Asthma
2015,CA,California,Merced,City,BRFSS,Health Outcomes,0646898,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.5,9.3,9.6,,,78958,POINT(-120.477710571 37.3055863217),HLTHOUT,CASTHMA,646898,,Current Asthma
2015,AZ,Arizona,Avondale,City,BRFSS,Health Outcomes,0404720,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.1,9.0,9.2,,,76238,POINT(-112.323626619 33.3858367405),HLTHOUT,CASTHMA,404720,,Current Asthma
2015,CA,California,Milpitas,City,BRFSS,Health Outcomes,0647766,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.7,,,66790,POINT(-121.892083025 37.433869763),HLTHOUT,CASTHMA,647766,,Current Asthma
2015,CA,California,Mission Viejo,City,BRFSS,Health Outcomes,0648256,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.5,7.7,,,93305,POINT(-117.655029608 33.6095976891),HLTHOUT,CASTHMA,648256,,Current Asthma
2015,CA,California,Modesto,City,BRFSS,Health Outcomes,0648354,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.4,9.3,9.5,,,201165,POINT(-120.988548061 37.6615478221),HLTHOUT,CASTHMA,648354,,Current Asthma
2015,CA,California,Moreno Valley,City,BRFSS,Health Outcomes,0649270,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.0,9.0,9.1,,,193365,POINT(-117.204501895 33.9244314112),HLTHOUT,CASTHMA,649270,,Current Asthma
2015,CA,California,Mountain View,City,BRFSS,Health Outcomes,0649670,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,7.0,7.2,,,74066,POINT(-122.079544343 37.3999252379),HLTHOUT,CASTHMA,649670,,Current Asthma
2015,CA,California,Murrieta,City,BRFSS,Health Outcomes,0650076,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.2,8.1,8.3,,,103466,POINT(-117.190921143 33.5719743356),HLTHOUT,CASTHMA,650076,,Current Asthma
2015,CA,California,Napa,City,BRFSS,Health Outcomes,0650258,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.7,8.9,,,76915,POINT(-122.301093331 38.2980424649),HLTHOUT,CASTHMA,650258,,Current Asthma
2015,CA,California,Newport Beach,City,BRFSS,Health Outcomes,0651182,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.3,7.5,,,85186,POINT(-117.867364631 33.6150103607),HLTHOUT,CASTHMA,651182,,Current Asthma
2015,CA,California,Norwalk,City,BRFSS,Health Outcomes,0652526,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.8,7.7,8.0,,,105549,POINT(-118.082915204 33.9068808228),HLTHOUT,CASTHMA,652526,,Current Asthma
2015,CA,California,Oakland,City,BRFSS,Health Outcomes,0653000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.8,9.7,9.8,,,390724,POINT(-122.214859257 37.790878035),HLTHOUT,CASTHMA,653000,,Current Asthma
2015,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.5,8.4,8.5,,,236123,POINT(-111.852210033 33.28318981),HLTHOUT,CASTHMA,412000,,Current Asthma
2015,CA,California,Oceanside,City,BRFSS,Health Outcomes,0653322,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.3,8.4,,,167086,POINT(-117.308200285 33.2247457474),HLTHOUT,CASTHMA,653322,,Current Asthma
2015,CA,California,Ontario,City,BRFSS,Health Outcomes,0653896,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.7,8.9,,,163924,POINT(-117.606427103 34.0392649464),HLTHOUT,CASTHMA,653896,,Current Asthma
2015,CA,California,Orange,City,BRFSS,Health Outcomes,0653980,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.9,7.8,7.9,,,136416,POINT(-117.8231855 33.8046419567),HLTHOUT,CASTHMA,653980,,Current Asthma
