yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,responseid,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2016,2016,UT,Utah,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12,12,,,11.1,12.9,Overall,Overall,,,,,POINT(-111.58713063499971 39.360700171000474),,49,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,VT,Vermont,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,20.3,20.3,,,18.7,22,Overall,Overall,,,,,POINT(-72.51764079099962 43.62538123900049),,50,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,VA,Virginia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,16.3,16.3,,,15.3,17.4,Overall,Overall,,,,,POINT(-78.45789046299967 37.54268067400045),,51,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,WA,Washington,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,17,17,,,16.1,17.9,Overall,Overall,,,,,POINT(-120.47001078999972 47.52227862900048),,53,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,WV,West Virginia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.7,12.7,,,11.7,13.9,Overall,Overall,,,,,POINT(-80.71264013499967 38.66551020200046),,54,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,WI,Wisconsin,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,26,26,,,24.2,27.8,Overall,Overall,,,,,POINT(-89.81637074199966 44.39319117400049),,55,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,WY,Wyoming,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,19.1,19.1,,,17.2,21.3,Overall,Overall,,,,,POINT(-108.10983035299967 43.23554134300048),,56,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,20.3,20.3,,,17.4,23.6,Overall,Overall,,,,,POINT(144.793731 13.444304),,66,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,PR,Puerto Rico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.4,13.4,,,12.1,14.9,Overall,Overall,,,,,POINT(-66.590149 18.220833),,72,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,VI,Virgin Islands,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,15.7,15.7,,,12,20.4,Overall,Overall,,,,,POINT(-64.896335 18.335765),,78,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,RACE,BLK,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.5,12.5,,,10.7,14.4,Gender,Female,,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,GENDER,GENF,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.2,13.2,,,7.2,22.9,Race/Ethnicity,Hispanic,,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,RACE,HIS,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,19.6,19.6,,,17.4,22.1,Gender,Male,,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,GENDER,GENM,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,18.4,18.4,,,12,27.1,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,RACE,MRC,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,14.5,14.5,,,11.9,17.6,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,RACE,OTH,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,16.2,16.2,,,14.7,17.8,Overall,Overall,,,,,POINT(-147.72205903599973 64.84507995700051),,2,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
