year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AK,Alaska,Anchorage,City,BRFSS,Unhealthy Behaviors,0203000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.3,19.2,19.4,,,291826,POINT(-149.111113424 61.149868731),UNHBEH,BINGE,203000,,Binge Drinking
2015,CA,California,Lynwood,City,BRFSS,Unhealthy Behaviors,0644574,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.8,14.6,15.0,,,69772,POINT(-118.201648375 33.9239616867),UNHBEH,BINGE,644574,,Binge Drinking
2015,CA,California,Manteca,City,BRFSS,Unhealthy Behaviors,0645484,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.7,18.6,18.9,,,67096,POINT(-121.231230612 37.7961925102),UNHBEH,BINGE,645484,,Binge Drinking
2015,CA,California,Menifee,City,BRFSS,Unhealthy Behaviors,0646842,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.0,18.9,19.1,,,77519,POINT(-117.18487699 33.6909533045),UNHBEH,BINGE,646842,,Binge Drinking
2015,AZ,Arizona,Avondale,City,BRFSS,Unhealthy Behaviors,0404720,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.7,13.6,13.8,,,76238,POINT(-112.323626619 33.3858367405),UNHBEH,BINGE,404720,,Binge Drinking
2015,CA,California,Merced,City,BRFSS,Unhealthy Behaviors,0646898,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.9,15.2,,,78958,POINT(-120.477710571 37.3055863217),UNHBEH,BINGE,646898,,Binge Drinking
2015,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,0647766,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.9,12.8,13.0,,,66790,POINT(-121.892083025 37.433869763),UNHBEH,BINGE,647766,,Binge Drinking
2015,CA,California,Mission Viejo,City,BRFSS,Unhealthy Behaviors,0648256,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.3,19.2,19.5,,,93305,POINT(-117.655029608 33.6095976891),UNHBEH,BINGE,648256,,Binge Drinking
2015,CA,California,Modesto,City,BRFSS,Unhealthy Behaviors,0648354,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.7,16.9,,,201165,POINT(-120.988548061 37.6615478221),UNHBEH,BINGE,648354,,Binge Drinking
2015,CA,California,Moreno Valley,City,BRFSS,Unhealthy Behaviors,0649270,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.1,16.0,16.1,,,193365,POINT(-117.204501895 33.9244314112),UNHBEH,BINGE,649270,,Binge Drinking
2015,CA,California,Mountain View,City,BRFSS,Unhealthy Behaviors,0649670,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.6,16.5,16.7,,,74066,POINT(-122.079544343 37.3999252379),UNHBEH,BINGE,649670,,Binge Drinking
2015,CA,California,Murrieta,City,BRFSS,Unhealthy Behaviors,0650076,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.1,19.0,19.3,,,103466,POINT(-117.190921143 33.5719743356),UNHBEH,BINGE,650076,,Binge Drinking
2015,CA,California,Napa,City,BRFSS,Unhealthy Behaviors,0650258,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.4,19.3,19.6,,,76915,POINT(-122.301093331 38.2980424649),UNHBEH,BINGE,650258,,Binge Drinking
2015,CA,California,Newport Beach,City,BRFSS,Unhealthy Behaviors,0651182,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.9,19.7,20.0,,,85186,POINT(-117.867364631 33.6150103607),UNHBEH,BINGE,651182,,Binge Drinking
2015,CA,California,Norwalk,City,BRFSS,Unhealthy Behaviors,0652526,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.6,16.5,16.7,,,105549,POINT(-118.082915204 33.9068808228),UNHBEH,BINGE,652526,,Binge Drinking
2015,AZ,Arizona,Chandler,City,BRFSS,Unhealthy Behaviors,0412000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.4,15.3,15.5,,,236123,POINT(-111.852210033 33.28318981),UNHBEH,BINGE,412000,,Binge Drinking
2015,CA,California,Oakland,City,BRFSS,Unhealthy Behaviors,0653000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.9,14.9,15.0,,,390724,POINT(-122.214859257 37.790878035),UNHBEH,BINGE,653000,,Binge Drinking
2015,CA,California,Oceanside,City,BRFSS,Unhealthy Behaviors,0653322,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.6,18.5,18.7,,,167086,POINT(-117.308200285 33.2247457474),UNHBEH,BINGE,653322,,Binge Drinking
2015,CA,California,Ontario,City,BRFSS,Unhealthy Behaviors,0653896,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.2,15.1,15.3,,,163924,POINT(-117.606427103 34.0392649464),UNHBEH,BINGE,653896,,Binge Drinking
2015,CA,California,Orange,City,BRFSS,Unhealthy Behaviors,0653980,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.4,17.3,17.5,,,136416,POINT(-117.8231855 33.8046419567),UNHBEH,BINGE,653980,,Binge Drinking
2015,CA,California,Oxnard,City,BRFSS,Unhealthy Behaviors,0654652,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.9,14.8,15.0,,,197899,POINT(-119.18187657 34.1959237731),UNHBEH,BINGE,654652,,Binge Drinking
