Educational Technical College-Recinto de Bayamon,293
A T Still University of Health Sciences,3569
Aaniiih Nakoda College,149
ABC Beauty Academy,
ABCO Technology,28
Abcott Institute,94
Abdill Career College Inc,22
Abilene Christian University,4910
Abington Memorial Hospital Dixon School of Nursing,99
Abraham Baldwin Agricultural College,3475
Abraham Lincoln University,164
Academia Serrant Inc,409
Academy College,116
Academy Di Capelli-School of Cosmetology,34
Academy di Firenze,9
Academy for Careers and Technology,49
Academy for Five Element Acupuncture,72
Academy for Jewish Religion-California,64
Academy for Nursing and Health Occupations,251
Academy for Salon Professionals,76
Academy for Salon Professionals,90
Academy of Art University,12608
Academy of Career Training,130
Academy of Careers and Technology,152
Academy of Chinese Culture and Health Sciences,126
Academy of Cosmetology,119
Academy of Cosmetology,37
Academy of Cosmetology,35
Academy of Cosmetology and Esthetics,28
Academy of Cosmetology and Esthetics NYC,91
Academy of Esthetics and Cosmetology,33
Academy of Hair Design-Beaumont,60
Academy of Hair Design-Grenada,23
Academy of Hair Design-Jackson,81
Academy of Hair Design-Jasper,38
Academy of Hair Design-Las Vegas,222
Academy of Hair Design-Lufkin,82
Academy of Hair Design-Oklahoma City,57
Academy of Hair Design-Pearl,44
Academy of Hair Design-Salem,38
Academy of Hair Design-Springfield,177
Academy of Hair Technology,92
Academy of Interactive Entertainment,129
Academy of Interactive Entertainment,80
Academy of Massage and Bodywork,73
Academy of Natural Therapy Inc,52
Academy of Professional Cosmetology,65
Academy of Salon and Spa,73
Academy of Salon Professionals,38
Academy of Vocal Arts,28
Acaydia School of Aesthetics,76
Access Careers,13
Ace Cosmetology and Barber Training Center,36
Ace Institute of Technology,233
Acupuncture and Integrative Medicine College-Berkeley,91
Acupuncture and Massage College,154
Adams State University,3370
Adelphi University,7687
Adirondack Beauty School,17
Adirondack Community College,3776
Adler Graduate School,298
Adler University,1099
Adrian College,1684
Adrian's College of Beauty Turlock,96
Adult and Community Education-Hudson,113
Adult and Continuing Education-BCTS,60
Advance Beauty College,389
Advance Beauty Techs Academy,97
Advance Science College,22
Advanced Barber College and Hair Design,223
Advanced Beauty College,37
Advanced Career Institute,325
