yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,responseid,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2016,2016,TN,Tennessee,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(-85.77449091399967 35.68094058000048),,47,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,TX,Texas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,4.7,4.7,,,3.6,6.1,Race/Ethnicity,Hispanic,,,,,POINT(-99.42677020599967 31.827240407000488),,48,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,UT,Utah,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,6.2,6.2,,,4.1,9.2,Race/Ethnicity,Hispanic,,,,,POINT(-111.58713063499971 39.360700171000474),,49,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,VT,Vermont,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(-72.51764079099962 43.62538123900049),,50,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,VA,Virginia,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.7,7.7,,,4.5,12.9,Race/Ethnicity,Hispanic,,,,,POINT(-78.45789046299967 37.54268067400045),,51,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,WA,Washington,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8,8,,,6.1,10.5,Race/Ethnicity,Hispanic,,,,,POINT(-120.47001078999972 47.52227862900048),,53,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,WV,West Virginia,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(-80.71264013499967 38.66551020200046),,54,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,WI,Wisconsin,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(-89.81637074199966 44.39319117400049),,55,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,WY,Wyoming,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.6,10.6,,,6.5,17,Race/Ethnicity,Hispanic,,,,,POINT(-108.10983035299967 43.23554134300048),,56,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2016,2016,GU,Guam,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(144.793731 13.444304),,66,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
