yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,responseid,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2012,2012,CO,Colorado,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,62.8,62.8,,,45.1,77.7,Race/Ethnicity,Hispanic,,,,,POINT(-106.13361092099967 38.843840757000464),,8,COPD,COPD4_0_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,CO,Colorado,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,60.9,60.9,,,51.9,69.2,Gender,Male,,,,,POINT(-106.13361092099967 38.843840757000464),,8,COPD,COPD4_0_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,RACE,BLK,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,58.7,58.7,,,48,68.6,Gender,Female,,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,GENDER,GENF,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,56.8,56.8,,,42.7,70,Gender,Male,,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,RACE,MRC,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,RACE,OTH,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,58.6,58.6,,,49.7,67.1,Overall,Overall,,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,61.7,61.7,,,51,71.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),,2,COPD,COPD4_0_1,AGEADJPREV,RACE,WHT,,,,
