year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,US,United States,,US,BRFSS,Prevention,59,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.4,15.1,15.7,,,308745538,,PREVENT,ACCESS2,,,Health Insurance
2015,AK,Alaska,Anchorage,City,BRFSS,Prevention,203000,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.2,14.9,15.5,,,291826,POINT(-149.111113424 61.149868731),PREVENT,ACCESS2,203000,,Health Insurance
2015,CA,California,Lynwood,City,BRFSS,Prevention,644574,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.2,28.9,31.6,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,ACCESS2,644574,,Health Insurance
2015,CA,California,Manteca,City,BRFSS,Prevention,645484,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.4,13.9,14.9,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,ACCESS2,645484,,Health Insurance
2015,AZ,Arizona,Avondale,City,BRFSS,Prevention,404720,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.9,21.2,22.5,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,ACCESS2,404720,,Health Insurance
2015,CA,California,Menifee,City,BRFSS,Prevention,646842,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.9,12.4,13.3,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,ACCESS2,646842,,Health Insurance
2015,CA,California,Merced,City,BRFSS,Prevention,646898,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21,20.3,21.7,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,ACCESS2,646898,,Health Insurance
2015,CA,California,Milpitas,City,BRFSS,Prevention,647766,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.8,9.1,10.4,,,66790,POINT(-121.892083025 37.433869763),PREVENT,ACCESS2,647766,,Health Insurance
2015,CA,California,Mission Viejo,City,BRFSS,Prevention,648256,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.9,7.7,8.3,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,ACCESS2,648256,,Health Insurance
2015,CA,California,Modesto,City,BRFSS,Prevention,648354,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.8,15.5,16.2,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,ACCESS2,648354,,Health Insurance
2015,CA,California,Moreno Valley,City,BRFSS,Prevention,649270,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.5,19.1,19.9,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,ACCESS2,649270,,Health Insurance
2015,CA,California,Mountain View,City,BRFSS,Prevention,649670,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.2,8,,,74066,POINT(-122.079544343 37.3999252379),PREVENT,ACCESS2,649670,,Health Insurance
2015,CA,California,Murrieta,City,BRFSS,Prevention,650076,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.1,9.7,10.6,,,103466,POINT(-117.190921143 33.5719743356),PREVENT,ACCESS2,650076,,Health Insurance
2015,CA,California,Napa,City,BRFSS,Prevention,650258,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13,14.2,,,76915,POINT(-122.301093331 38.2980424649),PREVENT,ACCESS2,650258,,Health Insurance
2015,AZ,Arizona,Chandler,City,BRFSS,Prevention,412000,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.3,12,12.7,,,236123,POINT(-111.852210033 33.28318981),PREVENT,ACCESS2,412000,,Health Insurance
2015,CA,California,Newport Beach,City,BRFSS,Prevention,651182,Current lack of health insurance among adults aged 18â€“64 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.6,5.3,5.9,,,85186,POINT(-117.867364631 33.6150103607),PREVENT,ACCESS2,651182,,Health Insurance
