year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,CA,California,Los Angeles,City,BRFSS,Health Outcomes,0644000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.4,5.3,5.4,,,3792621,POINT(-118.408500088 34.1182277898),HLTHOUT,CHD,644000,,Coronary Heart Disease
2015,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,5.0,5.2,,,291826,POINT(-149.111113424 61.149868731),HLTHOUT,CHD,203000,,Coronary Heart Disease
2015,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.8,6.7,7.0,,,69772,POINT(-118.201648375 33.9239616867),HLTHOUT,CHD,644574,,Coronary Heart Disease
2015,CA,California,Manteca,City,BRFSS,Health Outcomes,0645484,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.7,,,67096,POINT(-121.231230612 37.7961925102),HLTHOUT,CHD,645484,,Coronary Heart Disease
2015,CA,California,Menifee,City,BRFSS,Health Outcomes,0646842,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.6,,,77519,POINT(-117.18487699 33.6909533045),HLTHOUT,CHD,646842,,Coronary Heart Disease
2015,CA,California,Merced,City,BRFSS,Health Outcomes,0646898,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.6,6.8,,,78958,POINT(-120.477710571 37.3055863217),HLTHOUT,CHD,646898,,Coronary Heart Disease
2015,CA,California,Milpitas,City,BRFSS,Health Outcomes,0647766,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.8,3.7,3.9,,,66790,POINT(-121.892083025 37.433869763),HLTHOUT,CHD,647766,,Coronary Heart Disease
2015,AZ,Arizona,Avondale,City,BRFSS,Health Outcomes,0404720,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6.1,,,76238,POINT(-112.323626619 33.3858367405),HLTHOUT,CHD,404720,,Coronary Heart Disease
2015,CA,California,Mission Viejo,City,BRFSS,Health Outcomes,0648256,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.2,4.1,4.3,,,93305,POINT(-117.655029608 33.6095976891),HLTHOUT,CHD,648256,,Coronary Heart Disease
2015,CA,California,Modesto,City,BRFSS,Health Outcomes,0648354,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.0,5.9,6.0,,,201165,POINT(-120.988548061 37.6615478221),HLTHOUT,CHD,648354,,Coronary Heart Disease
2015,CA,California,Moreno Valley,City,BRFSS,Health Outcomes,0649270,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.1,6.1,6.2,,,193365,POINT(-117.204501895 33.9244314112),HLTHOUT,CHD,649270,,Coronary Heart Disease
2015,CA,California,Mountain View,City,BRFSS,Health Outcomes,0649670,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.8,3.7,3.9,,,74066,POINT(-122.079544343 37.3999252379),HLTHOUT,CHD,649670,,Coronary Heart Disease
2015,CA,California,Murrieta,City,BRFSS,Health Outcomes,0650076,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.9,4.7,5.0,,,103466,POINT(-117.190921143 33.5719743356),HLTHOUT,CHD,650076,,Coronary Heart Disease
2015,CA,California,Napa,City,BRFSS,Health Outcomes,0650258,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,5.0,5.3,,,76915,POINT(-122.301093331 38.2980424649),HLTHOUT,CHD,650258,,Coronary Heart Disease
2015,CA,California,Newport Beach,City,BRFSS,Health Outcomes,0651182,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.0,3.9,4.1,,,85186,POINT(-117.867364631 33.6150103607),HLTHOUT,CHD,651182,,Coronary Heart Disease
2015,CA,California,Norwalk,City,BRFSS,Health Outcomes,0652526,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,5.0,5.2,,,105549,POINT(-118.082915204 33.9068808228),HLTHOUT,CHD,652526,,Coronary Heart Disease
2015,CA,California,Oakland,City,BRFSS,Health Outcomes,0653000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.3,5.3,,,390724,POINT(-122.214859257 37.790878035),HLTHOUT,CHD,653000,,Coronary Heart Disease
2015,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.6,4.5,4.7,,,236123,POINT(-111.852210033 33.28318981),HLTHOUT,CHD,412000,,Coronary Heart Disease
2015,CA,California,Oceanside,City,BRFSS,Health Outcomes,0653322,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.0,4.9,5.1,,,167086,POINT(-117.308200285 33.2247457474),HLTHOUT,CHD,653322,,Coronary Heart Disease
2015,CA,California,Ontario,City,BRFSS,Health Outcomes,0653896,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6.0,,,163924,POINT(-117.606427103 34.0392649464),HLTHOUT,CHD,653896,,Coronary Heart Disease
