year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Unhealthy Behaviors,177256,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,37.2,36.9,37.5,,,90468,POINT(-87.5268004073 33.2336083951),UNHBEH,OBESITY,177256,,Obesity
2015,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,644000,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.2,25.2,25.3,,,3792621,POINT(-118.408500088 34.1182277898),UNHBEH,OBESITY,644000,,Obesity
2015,AK,Alaska,Anchorage,City,BRFSS,Unhealthy Behaviors,203000,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.1,29.9,30.3,,,291826,POINT(-149.111113424 61.149868731),UNHBEH,OBESITY,203000,,Obesity
2015,CA,California,Lynwood,City,BRFSS,Unhealthy Behaviors,644574,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,32.1,31.8,32.4,,,69772,POINT(-118.201648375 33.9239616867),UNHBEH,OBESITY,644574,,Obesity
2015,CA,California,Manteca,City,BRFSS,Unhealthy Behaviors,645484,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,27.8,27.6,28.1,,,67096,POINT(-121.231230612 37.7961925102),UNHBEH,OBESITY,645484,,Obesity
2015,CA,California,Menifee,City,BRFSS,Unhealthy Behaviors,646842,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,26.7,26.5,26.9,,,77519,POINT(-117.18487699 33.6909533045),UNHBEH,OBESITY,646842,,Obesity
2015,CA,California,Merced,City,BRFSS,Unhealthy Behaviors,646898,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.1,29.8,30.4,,,78958,POINT(-120.477710571 37.3055863217),UNHBEH,OBESITY,646898,,Obesity
2015,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,647766,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.3,15.1,15.6,,,66790,POINT(-121.892083025 37.433869763),UNHBEH,OBESITY,647766,,Obesity
2015,CA,California,Mission Viejo,City,BRFSS,Unhealthy Behaviors,648256,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.6,18.3,18.8,,,93305,POINT(-117.655029608 33.6095976891),UNHBEH,OBESITY,648256,,Obesity
2015,CA,California,Modesto,City,BRFSS,Unhealthy Behaviors,648354,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.3,29.2,29.5,,,201165,POINT(-120.988548061 37.6615478221),UNHBEH,OBESITY,648354,,Obesity
2015,CA,California,Moreno Valley,City,BRFSS,Unhealthy Behaviors,649270,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.8,30.6,31,,,193365,POINT(-117.204501895 33.9244314112),UNHBEH,OBESITY,649270,,Obesity
2015,AZ,Arizona,Avondale,City,BRFSS,Unhealthy Behaviors,404720,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.2,30,30.4,,,76238,POINT(-112.323626619 33.3858367405),UNHBEH,OBESITY,404720,,Obesity
2015,CA,California,Mountain View,City,BRFSS,Unhealthy Behaviors,649670,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.2,18,18.4,,,74066,POINT(-122.079544343 37.3999252379),UNHBEH,OBESITY,649670,,Obesity
