year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2014,AL,Alabama,Tuscaloosa,City,BRFSS,Prevention,177256,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,36,34.7,37.3,,,90468,POINT(-87.5268004073 33.2336083951),PREVENT,COREM,177256,,Core preventive services for older men
2014,CA,California,Los Angeles,City,BRFSS,Prevention,644000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,24.3,24.2,24.5,,,3792621,POINT(-118.408500088 34.1182277898),PREVENT,COREM,644000,,Core preventive services for older men
2014,AK,Alaska,Anchorage,City,BRFSS,Prevention,203000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,33.4,32.8,34.1,,,291826,POINT(-149.111113424 61.149868731),PREVENT,COREM,203000,,Core preventive services for older men
2014,CA,California,Lynwood,City,BRFSS,Prevention,644574,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,18,16.9,19,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,COREM,644574,,Core preventive services for older men
2014,CA,California,Manteca,City,BRFSS,Prevention,645484,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,28.7,27.5,30.1,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,COREM,645484,,Core preventive services for older men
2014,CA,California,Menifee,City,BRFSS,Prevention,646842,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,27.2,25.8,28.5,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,COREM,646842,,Core preventive services for older men
2014,CA,California,Merced,City,BRFSS,Prevention,646898,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,25.5,24.4,26.7,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,COREM,646898,,Core preventive services for older men
2014,CA,California,Milpitas,City,BRFSS,Prevention,647766,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,25.5,24.4,26.7,,,66790,POINT(-121.892083025 37.433869763),PREVENT,COREM,647766,,Core preventive services for older men
2014,CA,California,Mission Viejo,City,BRFSS,Prevention,648256,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,29.9,28.6,31.3,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,COREM,648256,,Core preventive services for older men
2014,AZ,Arizona,Avondale,City,BRFSS,Prevention,404720,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,29.1,28.1,30.1,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,COREM,404720,,Core preventive services for older men
2014,CA,California,Modesto,City,BRFSS,Prevention,648354,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,26.9,26.1,27.7,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,COREM,648354,,Core preventive services for older men
2014,AL,Alabama,Birmingham,City,BRFSS,Prevention,107000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,30.3,29.6,30.9,,,212237,POINT(-86.7988174678 33.5275663773),PREVENT,COREM,107000,,Core preventive services for older men
2014,CA,California,Moreno Valley,City,BRFSS,Prevention,649270,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,22.9,22.4,23.4,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,COREM,649270,,Core preventive services for older men
2014,CA,California,Mountain View,City,BRFSS,Prevention,649670,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,30,29,31.1,,,74066,POINT(-122.079544343 37.3999252379),PREVENT,COREM,649670,,Core preventive services for older men
2014,CA,California,Murrieta,City,BRFSS,Prevention,650076,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,28.6,27,30.3,,,103466,POINT(-117.190921143 33.5719743356),PREVENT,COREM,650076,,Core preventive services for older men
2014,CA,California,Napa,City,BRFSS,Prevention,650258,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,28.5,27.2,29.7,,,76915,POINT(-122.301093331 38.2980424649),PREVENT,COREM,650258,,Core preventive services for older men
