year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2014,AL,Alabama,Tuscaloosa,City,BRFSS,Prevention,0177256,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,33.7,32.7,34.8,,,90468,POINT(-87.5268004073 33.2336083951),PREVENT,COREW,177256,,Core preventive services for older women
2014,CA,California,Los Angeles,City,BRFSS,Prevention,0644000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,24.9,24.8,25.1,,,3792621,POINT(-118.408500088 34.1182277898),PREVENT,COREW,644000,,Core preventive services for older women
2014,AK,Alaska,Anchorage,City,BRFSS,Prevention,0203000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,29.0,28.4,29.6,,,291826,POINT(-149.111113424 61.149868731),PREVENT,COREW,203000,,Core preventive services for older women
2014,CA,California,Lynwood,City,BRFSS,Prevention,0644574,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,17.0,16.1,17.9,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,COREW,644574,,Core preventive services for older women
2014,CA,California,Manteca,City,BRFSS,Prevention,0645484,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,27.1,25.9,28.2,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,COREW,645484,,Core preventive services for older women
2014,CA,California,Menifee,City,BRFSS,Prevention,0646842,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,29.0,27.6,30.5,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,COREW,646842,,Core preventive services for older women
2014,CA,California,Merced,City,BRFSS,Prevention,0646898,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,22.7,21.7,23.7,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,COREW,646898,,Core preventive services for older women
2014,CA,California,Milpitas,City,BRFSS,Prevention,0647766,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,30.7,29.6,31.8,,,66790,POINT(-121.892083025 37.433869763),PREVENT,COREW,647766,,Core preventive services for older women
2014,CA,California,Mission Viejo,City,BRFSS,Prevention,0648256,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,34.2,32.8,35.5,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,COREW,648256,,Core preventive services for older women
2014,AZ,Arizona,Avondale,City,BRFSS,Prevention,0404720,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,27.5,26.7,28.4,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,COREW,404720,,Core preventive services for older women
2014,CA,California,Modesto,City,BRFSS,Prevention,0648354,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,27.3,26.6,28.1,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,COREW,648354,,Core preventive services for older women
2014,CA,California,Moreno Valley,City,BRFSS,Prevention,0649270,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,23.9,23.5,24.4,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,COREW,649270,,Core preventive services for older women
