yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,responseid,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2012,2012,AL,Alabama,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.5,10.5,,,6.8,15.9,Race/Ethnicity,Hispanic,,,,,POINT(-86.63186076199969 32.84057112200048),,1,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,AL,Alabama,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.9,11.9,,,10.7,13.3,Gender,Male,,,,,POINT(-86.63186076199969 32.84057112200048),,1,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,PA,Pennsylvania,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.5,12.5,,,9,17.1,Race/Ethnicity,Hispanic,,,,,POINT(-77.86070029399963 40.79373015200048),,42,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,CA,California,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.8,8.8,,,8,9.7,Gender,Female,,,,,POINT(-120.99999953799971 37.63864012300047),,6,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
2012,2012,PA,Pennsylvania,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.5,9.5,,,8.7,10.4,Gender,Male,,,,,POINT(-77.86070029399963 40.79373015200048),,42,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,CA,California,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,14.3,14.3,,,12.9,15.9,Race/Ethnicity,Hispanic,,,,,POINT(-120.99999953799971 37.63864012300047),,6,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,CA,California,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.5,10.5,,,9.5,11.6,Gender,Male,,,,,POINT(-120.99999953799971 37.63864012300047),,6,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,DC,District of Columbia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.7,13.7,,,7.7,23.2,Race/Ethnicity,Hispanic,,,,,POINT(-77.036871 38.907192),,11,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,DC,District of Columbia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9,9,,,7.3,10.9,Gender,Male,,,,,POINT(-77.036871 38.907192),,11,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.5,9.5,,,8.5,10.6,Gender,Female,,,,,POINT(-83.62758034599966 32.83968109300048),,13,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
2012,2012,OH,Ohio,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.7,11.7,,,10.7,12.8,Gender,Male,,,,,POINT(-82.40426005599966 40.06021014100048),,39,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,14.5,14.5,,,9.8,21,Race/Ethnicity,Hispanic,,,,,POINT(-83.62758034599966 32.83968109300048),,13,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.2,10.2,,,8.9,11.6,Gender,Male,,,,,POINT(-83.62758034599966 32.83968109300048),,13,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,IA,Iowa,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.9,7.9,,,7,8.8,Gender,Female,,,,,POINT(-93.81649055599968 42.46940091300047),,19,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
2012,2012,IA,Iowa,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.1,13.1,,,8.7,19.3,Race/Ethnicity,Hispanic,,,,,POINT(-93.81649055599968 42.46940091300047),,19,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2012,2012,IA,Iowa,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.8,9.8,,,8.8,10.9,Gender,Male,,,,,POINT(-93.81649055599968 42.46940091300047),,19,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,,
2012,2012,IN,Indiana,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.7,9.7,,,8.8,10.6,Gender,Female,,,,,POINT(-86.14996019399968 39.766910452000445),,18,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
2012,2012,IN,Indiana,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,16.3,16.3,,,11.2,23.2,Race/Ethnicity,Hispanic,,,,,POINT(-86.14996019399968 39.766910452000445),,18,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
