year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2014,AL,Alabama,Tuscaloosa,City,BRFSS,Unhealthy Behaviors,0177256,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,41.4,41.0,41.8,,,90468,POINT(-87.5268004073 33.2336083951),UNHBEH,SLEEP,177256,,Sleep < 7 hours
2014,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,0644000,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,37.5,37.4,37.5,,,3792621,POINT(-118.408500088 34.1182277898),UNHBEH,SLEEP,644000,,Sleep < 7 hours
2014,AK,Alaska,Anchorage,City,BRFSS,Unhealthy Behaviors,0203000,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,33.4,33.2,33.6,,,291826,POINT(-149.111113424 61.149868731),UNHBEH,SLEEP,203000,,Sleep < 7 hours
2014,CA,California,Lynwood,City,BRFSS,Unhealthy Behaviors,0644574,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,40.8,40.4,41.2,,,69772,POINT(-118.201648375 33.9239616867),UNHBEH,SLEEP,644574,,Sleep < 7 hours
2014,CA,California,Manteca,City,BRFSS,Unhealthy Behaviors,0645484,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,34.9,34.6,35.2,,,67096,POINT(-121.231230612 37.7961925102),UNHBEH,SLEEP,645484,,Sleep < 7 hours
2014,CA,California,Menifee,City,BRFSS,Unhealthy Behaviors,0646842,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,36.7,36.4,37.0,,,77519,POINT(-117.18487699 33.6909533045),UNHBEH,SLEEP,646842,,Sleep < 7 hours
2014,CA,California,Merced,City,BRFSS,Unhealthy Behaviors,0646898,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,36.0,35.7,36.3,,,78958,POINT(-120.477710571 37.3055863217),UNHBEH,SLEEP,646898,,Sleep < 7 hours
2014,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,0647766,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.6,35.1,36.1,,,66790,POINT(-121.892083025 37.433869763),UNHBEH,SLEEP,647766,,Sleep < 7 hours
2014,CA,California,Mission Viejo,City,BRFSS,Unhealthy Behaviors,0648256,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.5,29.2,29.8,,,93305,POINT(-117.655029608 33.6095976891),UNHBEH,SLEEP,648256,,Sleep < 7 hours
2014,CA,California,Modesto,City,BRFSS,Unhealthy Behaviors,0648354,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.5,35.3,35.7,,,201165,POINT(-120.988548061 37.6615478221),UNHBEH,SLEEP,648354,,Sleep < 7 hours
