year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,CA,California,Los Angeles,City,BRFSS,Prevention,644000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.8,64.8,64.9,,,3792621,POINT(-118.408500088 34.1182277898),PREVENT,CHECKUP,644000,,Annual Checkup
2015,AK,Alaska,Anchorage,City,BRFSS,Prevention,203000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,56.9,56.8,57.1,,,291826,POINT(-149.111113424 61.149868731),PREVENT,CHECKUP,203000,,Annual Checkup
2015,CA,California,Lynwood,City,BRFSS,Prevention,644574,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,63.7,63.3,64,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,CHECKUP,644574,,Annual Checkup
2015,CA,California,Manteca,City,BRFSS,Prevention,645484,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.4,64.1,64.6,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,CHECKUP,645484,,Annual Checkup
2015,CA,California,Menifee,City,BRFSS,Prevention,646842,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64,63.8,64.2,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,CHECKUP,646842,,Annual Checkup
2015,CA,California,Merced,City,BRFSS,Prevention,646898,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,63.5,63.3,63.8,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,CHECKUP,646898,,Annual Checkup
2015,CA,California,Milpitas,City,BRFSS,Prevention,647766,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.2,64.9,65.5,,,66790,POINT(-121.892083025 37.433869763),PREVENT,CHECKUP,647766,,Annual Checkup
2015,AZ,Arizona,Avondale,City,BRFSS,Prevention,404720,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,66.7,66.5,66.9,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,CHECKUP,404720,,Annual Checkup
2015,CA,California,Mission Viejo,City,BRFSS,Prevention,648256,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.6,65.4,65.7,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,CHECKUP,648256,,Annual Checkup
2015,CA,California,Modesto,City,BRFSS,Prevention,648354,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,63.8,63.7,64,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,CHECKUP,648354,,Annual Checkup
2015,CA,California,Moreno Valley,City,BRFSS,Prevention,649270,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.8,64.7,64.9,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,CHECKUP,649270,,Annual Checkup
2015,CA,California,Mountain View,City,BRFSS,Prevention,649670,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.8,64.6,64.9,,,74066,POINT(-122.079544343 37.3999252379),PREVENT,CHECKUP,649670,,Annual Checkup
2015,CA,California,Murrieta,City,BRFSS,Prevention,650076,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.7,64.5,64.9,,,103466,POINT(-117.190921143 33.5719743356),PREVENT,CHECKUP,650076,,Annual Checkup
2015,CA,California,Napa,City,BRFSS,Prevention,650258,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,62.6,62.4,62.8,,,76915,POINT(-122.301093331 38.2980424649),PREVENT,CHECKUP,650258,,Annual Checkup
2015,CA,California,Newport Beach,City,BRFSS,Prevention,651182,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.8,65.6,66,,,85186,POINT(-117.867364631 33.6150103607),PREVENT,CHECKUP,651182,,Annual Checkup
2015,CA,California,Norwalk,City,BRFSS,Prevention,652526,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.6,64.4,64.9,,,105549,POINT(-118.082915204 33.9068808228),PREVENT,CHECKUP,652526,,Annual Checkup
2015,CA,California,Oakland,City,BRFSS,Prevention,653000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.8,65.7,65.9,,,390724,POINT(-122.214859257 37.790878035),PREVENT,CHECKUP,653000,,Annual Checkup
2015,CA,California,Oceanside,City,BRFSS,Prevention,653322,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.5,64.3,64.7,,,167086,POINT(-117.308200285 33.2247457474),PREVENT,CHECKUP,653322,,Annual Checkup
2015,AZ,Arizona,Chandler,City,BRFSS,Prevention,412000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,67.6,67.4,67.7,,,236123,POINT(-111.852210033 33.28318981),PREVENT,CHECKUP,412000,,Annual Checkup
2015,CA,California,Ontario,City,BRFSS,Prevention,653896,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.6,65.5,65.8,,,163924,POINT(-117.606427103 34.0392649464),PREVENT,CHECKUP,653896,,Annual Checkup
2015,CA,California,Orange,City,BRFSS,Prevention,653980,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.6,64.4,64.8,,,136416,POINT(-117.8231855 33.8046419567),PREVENT,CHECKUP,653980,,Annual Checkup
2015,CA,California,Oxnard,City,BRFSS,Prevention,654652,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64,63.8,64.2,,,197899,POINT(-119.18187657 34.1959237731),PREVENT,CHECKUP,654652,,Annual Checkup
2015,CA,California,Palmdale,City,BRFSS,Prevention,655156,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,64.9,64.7,65,,,152750,POINT(-118.105772328 34.5944899803),PREVENT,CHECKUP,655156,,Annual Checkup
2015,CA,California,Pasadena,City,BRFSS,Prevention,656000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,66.3,66.1,66.4,,,137122,POINT(-118.138921644 34.1597634806),PREVENT,CHECKUP,656000,,Annual Checkup
2015,CA,California,Perris,City,BRFSS,Prevention,656700,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,63.5,63.1,63.8,,,68386,POINT(-117.223291831 33.7897346094),PREVENT,CHECKUP,656700,,Annual Checkup
