Alabama,"$7,281 "
Alaska,"$11,064 "
Arizona,"$6,452 "
Arkansas,"$7,408 "
California,"$7,549 "
Colorado,"$6,804 "
Connecticut,"$9,859 "
Delaware,"$10,254 "
District of Columbia,"$11,944 "
Florida,"$8,076 "
Georgia,"$6,587 "
Hawaii,"$7,299 "
Idaho,"$6,927 "
Illinois,"$8,262 "
Indiana,"$8,300 "
Iowa,"$8,200 "
Kansas,"$7,651 "
Kentucky,"$8,004 "
Louisiana,"$7,815 "
Maine,"$9,531 "
Maryland,"$8,602 "
Massachusetts,"$10,559 "
Michigan,"$8,055 "
Minnesota,"$8,871 "
Mississippi,"$7,646 "
Missouri,"$8,107 "
Montana,"$8,221 "
Nebraska,"$8,412 "
Nevada,"$6,714 "
New Hampshire,"$9,589 "
New Jersey,"$8,859 "
New Mexico,"$7,214 "
New York,"$9,778 "
North Carolina,"$7,264 "
North Dakota,"$9,851 "
Ohio,"$8,712 "
Oklahoma,"$7,627 "
Oregon,"$8,044 "
Pennsylvania,"$9,258 "
Rhode Island,"$9,551 "
South Carolina,"$7,311 "
South Dakota,"$8,933 "
Tennessee,"$7,372 "
Texas,"$6,998 "
Utah,"$5,982 "
Vermont,"$10,190 "
Virginia,"$7,556 "
Washington,"$7,913 "
West Virginia,"$9,462 "
Wisconsin,"$8,702 "
Wyoming,"$8,320 "
