"","x"
"Alabama",81.7
"Alaska",74.3
"Arizona",42.3
"Arkansas",75.8
"California",43.2
"Colorado",40.8
"Connecticut",40.1
"Delaware",88.2
"Florida",56
"Georgia",99.7
"Hawaii",57.5
"Idaho",32.2
"Illinois",89.5
"Indiana",48.4
"Iowa",108.4
"Kansas",46.5
"Kentucky",42.8
"Louisiana",40.8
"Maine",34.9
"Montana",70.4
"Nebraska",41.3
"Nevada",44.1
"New Hampshire",62
"New Jersey",50
"New Mexico",48.1
"New York",43.2
"North Carolina",43.1
"North Dakota",70.6
"Ohio",44.2
"Oklahoma",116.3
"Oregon",57
"Maryland",36.8
"Massachusetts",51.4
"Michigan",42.9
"Minnesota",53.4
"Mississippi",42.3
"Missouri",38
"Pennsylvania",49
"Rhode Island",93
"South Carolina",94.7
"South Dakota",64.2
"Tennessee",32.8
"Texas",39.2
"Utah",86.3
"Vermont",31.5
"Virginia",36.4
"Washington",45.3
"West Virginia",65.1
"Wisconsin",35.7
"Wyoming",52.4
