year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Unhealthy Behaviors,0177256,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.7,22.1,23.4,,,90468,POINT(-87.5268004073 33.2336083951),UNHBEH,CSMOKING,177256,,Current Smoking
2015,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,0644000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.5,14.5,14.6,,,3792621,POINT(-118.408500088 34.1182277898),UNHBEH,CSMOKING,644000,,Current Smoking
2015,AK,Alaska,Anchorage,City,BRFSS,Unhealthy Behaviors,0203000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.1,16.8,17.3,,,291826,POINT(-149.111113424 61.149868731),UNHBEH,CSMOKING,203000,,Current Smoking
2015,CA,California,Lynwood,City,BRFSS,Unhealthy Behaviors,0644574,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.2,16.6,17.7,,,69772,POINT(-118.201648375 33.9239616867),UNHBEH,CSMOKING,644574,,Current Smoking
2015,CA,California,Manteca,City,BRFSS,Unhealthy Behaviors,0645484,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.0,15.5,16.4,,,67096,POINT(-121.231230612 37.7961925102),UNHBEH,CSMOKING,645484,,Current Smoking
2015,CA,California,Menifee,City,BRFSS,Unhealthy Behaviors,0646842,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.5,14.9,15.8,,,77519,POINT(-117.18487699 33.6909533045),UNHBEH,CSMOKING,646842,,Current Smoking
2015,CA,California,Merced,City,BRFSS,Unhealthy Behaviors,0646898,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.1,17.7,18.7,,,78958,POINT(-120.477710571 37.3055863217),UNHBEH,CSMOKING,646898,,Current Smoking
2015,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,0647766,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.1,10.0,,,66790,POINT(-121.892083025 37.433869763),UNHBEH,CSMOKING,647766,,Current Smoking
2015,CA,California,Mission Viejo,City,BRFSS,Unhealthy Behaviors,0648256,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.9,10.5,11.3,,,93305,POINT(-117.655029608 33.6095976891),UNHBEH,CSMOKING,648256,,Current Smoking
2015,CA,California,Modesto,City,BRFSS,Unhealthy Behaviors,0648354,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.2,16.9,17.5,,,201165,POINT(-120.988548061 37.6615478221),UNHBEH,CSMOKING,648354,,Current Smoking
2015,AZ,Arizona,Avondale,City,BRFSS,Unhealthy Behaviors,0404720,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.3,16.0,16.7,,,76238,POINT(-112.323626619 33.3858367405),UNHBEH,CSMOKING,404720,,Current Smoking
2015,CA,California,Moreno Valley,City,BRFSS,Unhealthy Behaviors,0649270,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.7,16.4,16.9,,,193365,POINT(-117.204501895 33.9244314112),UNHBEH,CSMOKING,649270,,Current Smoking
2015,CA,California,Mountain View,City,BRFSS,Unhealthy Behaviors,0649670,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.6,8.2,8.9,,,74066,POINT(-122.079544343 37.3999252379),UNHBEH,CSMOKING,649670,,Current Smoking
2015,CA,California,Murrieta,City,BRFSS,Unhealthy Behaviors,0650076,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.8,13.3,14.1,,,103466,POINT(-117.190921143 33.5719743356),UNHBEH,CSMOKING,650076,,Current Smoking
2015,CA,California,Napa,City,BRFSS,Unhealthy Behaviors,0650258,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.8,14.4,15.4,,,76915,POINT(-122.301093331 38.2980424649),UNHBEH,CSMOKING,650258,,Current Smoking
2015,CA,California,Newport Beach,City,BRFSS,Unhealthy Behaviors,0651182,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.4,8.9,10.0,,,85186,POINT(-117.867364631 33.6150103607),UNHBEH,CSMOKING,651182,,Current Smoking
2015,CA,California,Norwalk,City,BRFSS,Unhealthy Behaviors,0652526,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.3,12.9,13.7,,,105549,POINT(-118.082915204 33.9068808228),UNHBEH,CSMOKING,652526,,Current Smoking
2015,CA,California,Oakland,City,BRFSS,Unhealthy Behaviors,0653000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.3,14.1,14.5,,,390724,POINT(-122.214859257 37.790878035),UNHBEH,CSMOKING,653000,,Current Smoking
2015,CA,California,Oceanside,City,BRFSS,Unhealthy Behaviors,0653322,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.0,13.7,14.3,,,167086,POINT(-117.308200285 33.2247457474),UNHBEH,CSMOKING,653322,,Current Smoking
2015,CA,California,Ontario,City,BRFSS,Unhealthy Behaviors,0653896,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.6,15.2,15.8,,,163924,POINT(-117.606427103 34.0392649464),UNHBEH,CSMOKING,653896,,Current Smoking
2015,CA,California,Orange,City,BRFSS,Unhealthy Behaviors,0653980,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.8,12.5,13.1,,,136416,POINT(-117.8231855 33.8046419567),UNHBEH,CSMOKING,653980,,Current Smoking
2015,CA,California,Oxnard,City,BRFSS,Unhealthy Behaviors,0654652,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.0,13.7,14.3,,,197899,POINT(-119.18187657 34.1959237731),UNHBEH,CSMOKING,654652,,Current Smoking
2015,AZ,Arizona,Chandler,City,BRFSS,Unhealthy Behaviors,0412000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.1,12.8,13.4,,,236123,POINT(-111.852210033 33.28318981),UNHBEH,CSMOKING,412000,,Current Smoking
2015,CA,California,Palmdale,City,BRFSS,Unhealthy Behaviors,0655156,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.6,16.3,16.8,,,152750,POINT(-118.105772328 34.5944899803),UNHBEH,CSMOKING,655156,,Current Smoking
2015,CA,California,Pasadena,City,BRFSS,Unhealthy Behaviors,0656000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.4,11.1,11.6,,,137122,POINT(-118.138921644 34.1597634806),UNHBEH,CSMOKING,656000,,Current Smoking
2015,CA,California,Perris,City,BRFSS,Unhealthy Behaviors,0656700,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.5,16.9,18.0,,,68386,POINT(-117.223291831 33.7897346094),UNHBEH,CSMOKING,656700,,Current Smoking
2015,CA,California,Pleasanton,City,BRFSS,Unhealthy Behaviors,0657792,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.3,8.8,9.8,,,70285,POINT(-121.880775002 37.6656092171),UNHBEH,CSMOKING,657792,,Current Smoking
2015,CA,California,Pomona,City,BRFSS,Unhealthy Behaviors,0658072,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.8,15.4,,,149058,POINT(-117.762551658 34.0585026366),UNHBEH,CSMOKING,658072,,Current Smoking
2015,CA,California,Rancho Cucamonga,City,BRFSS,Unhealthy Behaviors,0659451,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.6,12.4,12.9,,,165269,POINT(-117.56617587 34.1245895555),UNHBEH,CSMOKING,659451,,Current Smoking
2015,CA,California,Redding,City,BRFSS,Unhealthy Behaviors,0659920,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.5,16.8,18.0,,,89861,POINT(-122.365026322 40.5697591271),UNHBEH,CSMOKING,659920,,Current Smoking
2015,CA,California,Redlands,City,BRFSS,Unhealthy Behaviors,0659962,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.5,13.1,14.0,,,68747,POINT(-117.170935294 34.0511315317),UNHBEH,CSMOKING,659962,,Current Smoking
2015,CA,California,Redondo Beach,City,BRFSS,Unhealthy Behaviors,0660018,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.1,10.1,,,66748,POINT(-118.376567893 33.8575280159),UNHBEH,CSMOKING,660018,,Current Smoking
2015,CA,California,Redwood City,City,BRFSS,Unhealthy Behaviors,0660102,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.4,10.9,11.8,,,76815,POINT(-122.224767617 37.5009145276),UNHBEH,CSMOKING,660102,,Current Smoking
2015,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,24.6,24.2,24.9,,,212237,POINT(-86.7988174678 33.5275663773),UNHBEH,CSMOKING,107000,,Current Smoking
2015,CA,California,Rialto,City,BRFSS,Unhealthy Behaviors,0660466,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.6,16.1,16.9,,,99171,POINT(-117.388535978 34.1128158089),UNHBEH,CSMOKING,660466,,Current Smoking
2015,CA,California,Richmond,City,BRFSS,Unhealthy Behaviors,0660620,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.4,15.1,15.9,,,103701,POINT(-122.336803759 37.9479710365),UNHBEH,CSMOKING,660620,,Current Smoking
2015,CA,California,Riverside,City,BRFSS,Unhealthy Behaviors,0662000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.7,15.5,16.0,,,303871,POINT(-117.394845824 33.9381251685),UNHBEH,CSMOKING,662000,,Current Smoking
2015,CA,California,Roseville,City,BRFSS,Unhealthy Behaviors,0662938,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.4,12.0,12.8,,,118788,POINT(-121.302847708 38.7657516182),UNHBEH,CSMOKING,662938,,Current Smoking
2015,CA,California,Sacramento,City,BRFSS,Unhealthy Behaviors,0664000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.7,15.5,15.9,,,466488,POINT(-121.468299801 38.5666321567),UNHBEH,CSMOKING,664000,,Current Smoking
2015,AZ,Arizona,Gilbert,City,BRFSS,Unhealthy Behaviors,0427400,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.6,12.2,13.0,,,208453,POINT(-111.746237467 33.310149392),UNHBEH,CSMOKING,427400,,Current Smoking
2015,CA,California,Salinas,City,BRFSS,Unhealthy Behaviors,0664224,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.8,15.4,,,150441,POINT(-121.631811961 36.6889174321),UNHBEH,CSMOKING,664224,,Current Smoking
2015,CA,California,San Bernardino,City,BRFSS,Unhealthy Behaviors,0665000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.7,19.5,19.9,,,209924,POINT(-117.295272732 34.1392322844),UNHBEH,CSMOKING,665000,,Current Smoking
2015,CA,California,San Buenaventura (Ventura),City,BRFSS,Unhealthy Behaviors,0665042,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.5,12.2,12.9,,,106433,POINT(-119.231436551 34.2743610206),UNHBEH,CSMOKING,665042,,Current Smoking
2015,CA,California,San Diego,City,BRFSS,Unhealthy Behaviors,0666000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.1,12.0,12.2,,,1307402,POINT(-117.119792061 32.8355639418),UNHBEH,CSMOKING,666000,,Current Smoking
2015,CA,California,San Francisco,City,BRFSS,Unhealthy Behaviors,0667000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.2,11.0,11.3,,,805235,POINT(-122.440987876 37.7559136611),UNHBEH,CSMOKING,667000,,Current Smoking
2015,AZ,Arizona,Glendale,City,BRFSS,Unhealthy Behaviors,0427820,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.4,17.1,17.7,,,226721,POINT(-112.225306421 33.5796123089),UNHBEH,CSMOKING,427820,,Current Smoking
2015,CA,California,San Jose,City,BRFSS,Unhealthy Behaviors,0668000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.2,11.1,11.3,,,945942,POINT(-121.847228423 37.3003963176),UNHBEH,CSMOKING,668000,,Current Smoking
2015,CA,California,San Leandro,City,BRFSS,Unhealthy Behaviors,0668084,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,12.7,13.3,,,84950,POINT(-122.159061655 37.7074299262),UNHBEH,CSMOKING,668084,,Current Smoking
2015,CA,California,San Marcos,City,BRFSS,Unhealthy Behaviors,0668196,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.5,13.0,14.0,,,83781,POINT(-117.174363098 33.134965986),UNHBEH,CSMOKING,668196,,Current Smoking
2015,CA,California,San Mateo,City,BRFSS,Unhealthy Behaviors,0668252,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.6,10.3,11.0,,,97207,POINT(-122.312390346 37.5518226893),UNHBEH,CSMOKING,668252,,Current Smoking
2015,CA,California,San Ramon,City,BRFSS,Unhealthy Behaviors,0668378,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,7.9,8.7,,,72148,POINT(-121.938150371 37.7623705462),UNHBEH,CSMOKING,668378,,Current Smoking
2015,CA,California,Santa Ana,City,BRFSS,Unhealthy Behaviors,0669000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.7,15.5,16.0,,,324528,POINT(-117.881890237 33.7366948419),UNHBEH,CSMOKING,669000,,Current Smoking
2015,CA,California,Santa Barbara,City,BRFSS,Unhealthy Behaviors,0669070,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.9,11.5,12.3,,,88410,POINT(-119.720187334 34.4285733874),UNHBEH,CSMOKING,669070,,Current Smoking
2015,CA,California,Santa Clara,City,BRFSS,Unhealthy Behaviors,0669084,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.4,9.1,9.8,,,116468,POINT(-121.967932117 37.3646197504),UNHBEH,CSMOKING,669084,,Current Smoking
2015,AZ,Arizona,Mesa,City,BRFSS,Unhealthy Behaviors,0446000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.7,16.4,16.9,,,439041,POINT(-111.718721181 33.4022837359),UNHBEH,CSMOKING,446000,,Current Smoking
2015,CA,California,Santa Clarita,City,BRFSS,Unhealthy Behaviors,0669088,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.5,12.0,12.8,,,176320,POINT(-118.503504698 34.4119039185),UNHBEH,CSMOKING,669088,,Current Smoking
