year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2014,CA,California,Los Angeles,City,BRFSS,Prevention,0644000,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,79.1,79.0,79.2,,,3792621,POINT(-118.408500088 34.1182277898),PREVENT,MAMMOUSE,644000,,Mammography
2014,AK,Alaska,Anchorage,City,BRFSS,Prevention,0203000,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,70.4,69.9,70.9,,,291826,POINT(-149.111113424 61.149868731),PREVENT,MAMMOUSE,203000,,Mammography
2014,CA,California,Lynwood,City,BRFSS,Prevention,0644574,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,76.0,74.8,77.2,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,MAMMOUSE,644574,,Mammography
2014,CA,California,Manteca,City,BRFSS,Prevention,0645484,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.6,77.7,79.4,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,MAMMOUSE,645484,,Mammography
2014,CA,California,Menifee,City,BRFSS,Prevention,0646842,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,80.3,79.5,81.1,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,MAMMOUSE,646842,,Mammography
2014,CA,California,Merced,City,BRFSS,Prevention,0646898,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,73.8,72.9,74.6,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,MAMMOUSE,646898,,Mammography
2014,CA,California,Milpitas,City,BRFSS,Prevention,0647766,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,81.4,80.5,82.2,,,66790,POINT(-121.892083025 37.433869763),PREVENT,MAMMOUSE,647766,,Mammography
2014,CA,California,Mission Viejo,City,BRFSS,Prevention,0648256,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,82.9,82.3,83.5,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,MAMMOUSE,648256,,Mammography
2014,CA,California,Modesto,City,BRFSS,Prevention,0648354,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.1,77.6,78.7,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,MAMMOUSE,648354,,Mammography
2014,AZ,Arizona,Avondale,City,BRFSS,Prevention,0404720,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,77.2,76.6,78.0,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,MAMMOUSE,404720,,Mammography
2014,CA,California,Moreno Valley,City,BRFSS,Prevention,0649270,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,79.0,78.6,79.4,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,MAMMOUSE,649270,,Mammography
2014,CA,California,Mountain View,City,BRFSS,Prevention,0649670,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,82.9,82.2,83.5,,,74066,POINT(-122.079544343 37.3999252379),PREVENT,MAMMOUSE,649670,,Mammography
2014,CA,California,Murrieta,City,BRFSS,Prevention,0650076,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,81.9,81.1,82.6,,,103466,POINT(-117.190921143 33.5719743356),PREVENT,MAMMOUSE,650076,,Mammography
2014,CA,California,Napa,City,BRFSS,Prevention,0650258,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.3,77.4,79.1,,,76915,POINT(-122.301093331 38.2980424649),PREVENT,MAMMOUSE,650258,,Mammography
2014,CA,California,Newport Beach,City,BRFSS,Prevention,0651182,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,83.5,82.8,84.1,,,85186,POINT(-117.867364631 33.6150103607),PREVENT,MAMMOUSE,651182,,Mammography
2014,CA,California,Norwalk,City,BRFSS,Prevention,0652526,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,79.3,78.6,79.9,,,105549,POINT(-118.082915204 33.9068808228),PREVENT,MAMMOUSE,652526,,Mammography
2014,CA,California,Oakland,City,BRFSS,Prevention,0653000,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,79.2,78.9,79.4,,,390724,POINT(-122.214859257 37.790878035),PREVENT,MAMMOUSE,653000,,Mammography
2014,CA,California,Oceanside,City,BRFSS,Prevention,0653322,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.5,77.9,79.0,,,167086,POINT(-117.308200285 33.2247457474),PREVENT,MAMMOUSE,653322,,Mammography
2014,CA,California,Ontario,City,BRFSS,Prevention,0653896,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.2,77.7,78.7,,,163924,POINT(-117.606427103 34.0392649464),PREVENT,MAMMOUSE,653896,,Mammography
