year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AK,Alaska,Anchorage,City,BRFSS,Prevention,0203000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,50.6,50.5,50.7,,,291826,POINT(-149.111113424 61.149868731),PREVENT,BPMED,203000,,Taking BP Medication
2015,CA,California,Lynwood,City,BRFSS,Prevention,0644574,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,53.0,52.6,53.3,,,69772,POINT(-118.201648375 33.9239616867),PREVENT,BPMED,644574,,Taking BP Medication
2015,CA,California,Manteca,City,BRFSS,Prevention,0645484,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.3,52.1,52.6,,,67096,POINT(-121.231230612 37.7961925102),PREVENT,BPMED,645484,,Taking BP Medication
2015,CA,California,Menifee,City,BRFSS,Prevention,0646842,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,51.7,51.5,51.9,,,77519,POINT(-117.18487699 33.6909533045),PREVENT,BPMED,646842,,Taking BP Medication
2015,CA,California,Merced,City,BRFSS,Prevention,0646898,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,55.0,54.7,55.2,,,78958,POINT(-120.477710571 37.3055863217),PREVENT,BPMED,646898,,Taking BP Medication
2015,AZ,Arizona,Avondale,City,BRFSS,Prevention,0404720,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,56.1,55.9,56.3,,,76238,POINT(-112.323626619 33.3858367405),PREVENT,BPMED,404720,,Taking BP Medication
2015,CA,California,Milpitas,City,BRFSS,Prevention,0647766,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.2,52.0,52.5,,,66790,POINT(-121.892083025 37.433869763),PREVENT,BPMED,647766,,Taking BP Medication
2015,CA,California,Mission Viejo,City,BRFSS,Prevention,0648256,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,50.9,50.7,51.1,,,93305,POINT(-117.655029608 33.6095976891),PREVENT,BPMED,648256,,Taking BP Medication
2015,CA,California,Modesto,City,BRFSS,Prevention,0648354,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.2,52.0,52.3,,,201165,POINT(-120.988548061 37.6615478221),PREVENT,BPMED,648354,,Taking BP Medication
2015,CA,California,Moreno Valley,City,BRFSS,Prevention,0649270,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,54.2,54.0,54.3,,,193365,POINT(-117.204501895 33.9244314112),PREVENT,BPMED,649270,,Taking BP Medication
2015,CA,California,Mountain View,City,BRFSS,Prevention,0649670,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,50.0,49.8,50.2,,,74066,POINT(-122.079544343 37.3999252379),PREVENT,BPMED,649670,,Taking BP Medication
2015,CA,California,Murrieta,City,BRFSS,Prevention,0650076,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,51.8,51.6,52.0,,,103466,POINT(-117.190921143 33.5719743356),PREVENT,BPMED,650076,,Taking BP Medication
2015,CA,California,Napa,City,BRFSS,Prevention,0650258,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,50.8,50.6,51.0,,,76915,POINT(-122.301093331 38.2980424649),PREVENT,BPMED,650258,,Taking BP Medication
2015,CA,California,Newport Beach,City,BRFSS,Prevention,0651182,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,50.7,50.4,51.0,,,85186,POINT(-117.867364631 33.6150103607),PREVENT,BPMED,651182,,Taking BP Medication
2015,CA,California,Norwalk,City,BRFSS,Prevention,0652526,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,51.4,51.2,51.7,,,105549,POINT(-118.082915204 33.9068808228),PREVENT,BPMED,652526,,Taking BP Medication
2015,CA,California,Oakland,City,BRFSS,Prevention,0653000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,56.3,56.2,56.4,,,390724,POINT(-122.214859257 37.790878035),PREVENT,BPMED,653000,,Taking BP Medication
2015,AZ,Arizona,Chandler,City,BRFSS,Prevention,0412000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,54.9,54.7,55.0,,,236123,POINT(-111.852210033 33.28318981),PREVENT,BPMED,412000,,Taking BP Medication
2015,CA,California,Oceanside,City,BRFSS,Prevention,0653322,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.0,51.8,52.1,,,167086,POINT(-117.308200285 33.2247457474),PREVENT,BPMED,653322,,Taking BP Medication
2015,CA,California,Ontario,City,BRFSS,Prevention,0653896,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.4,52.2,52.6,,,163924,POINT(-117.606427103 34.0392649464),PREVENT,BPMED,653896,,Taking BP Medication
2015,CA,California,Orange,City,BRFSS,Prevention,0653980,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,51.8,51.6,51.9,,,136416,POINT(-117.8231855 33.8046419567),PREVENT,BPMED,653980,,Taking BP Medication
2015,CA,California,Oxnard,City,BRFSS,Prevention,0654652,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,53.3,53.1,53.5,,,197899,POINT(-119.18187657 34.1959237731),PREVENT,BPMED,654652,,Taking BP Medication
2015,CA,California,Palmdale,City,BRFSS,Prevention,0655156,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,53.4,53.2,53.5,,,152750,POINT(-118.105772328 34.5944899803),PREVENT,BPMED,655156,,Taking BP Medication
2015,CA,California,Pasadena,City,BRFSS,Prevention,0656000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.4,52.2,52.5,,,137122,POINT(-118.138921644 34.1597634806),PREVENT,BPMED,656000,,Taking BP Medication
