State,Cost of Living Adjusted Income
Alabama,46055
Alaska,53070
Arizona,47278
Arkansas,46672
California,51386
Colorado,51845
Connecticut,64509
Delaware,48929
Florida,47093
Georgia,46728
Hawaii,43720
Idaho,43369
Illinois,52967
Indiana,48693
Iowa,50937
Kansas,52658
Kentucky,44462
Louisiana,48003
Maine,45992
Maryland,54310
Massachusetts,61637
Michigan,48401
Minnesota,54459
Mississippi,42165
Missouri,48892
Montana,46315
Nebraska,55624
Nevada,45537
New Hampshire,54832
New Jersey,55162
New Mexico,41338
New York,52898
North Carolina,47481
North Dakota,59202
Ohio,51138
Oklahoma,48330
Oregon,46735
Pennsylvania,53213
Rhode Island,52181
South Carolina,44763
South Dakota,54740
Tennessee,49239
Texas,48494
Utah,43343
Vermont,50309
Virginia,52921
Washington,53705
West Virginia,42659
Wisconsin,51396
Wyoming,58965
