year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.5,15.2,15.8,,,90468,POINT(-87.5268004073 33.2336083951),HLTHOUT,MHLTH,177256,,Mental Health
2015,CA,California,Los Angeles,City,BRFSS,Health Outcomes,0644000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,12.9,13.0,,,3792621,POINT(-118.408500088 34.1182277898),HLTHOUT,MHLTH,644000,,Mental Health
2015,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.6,10.4,10.7,,,291826,POINT(-149.111113424 61.149868731),HLTHOUT,MHLTH,203000,,Mental Health
2015,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.1,15.6,16.5,,,69772,POINT(-118.201648375 33.9239616867),HLTHOUT,MHLTH,644574,,Mental Health
2015,CA,California,Manteca,City,BRFSS,Health Outcomes,0645484,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.1,12.8,13.3,,,67096,POINT(-121.231230612 37.7961925102),HLTHOUT,MHLTH,645484,,Mental Health
2015,CA,California,Menifee,City,BRFSS,Health Outcomes,0646842,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.6,12.4,12.8,,,77519,POINT(-117.18487699 33.6909533045),HLTHOUT,MHLTH,646842,,Mental Health
2015,CA,California,Merced,City,BRFSS,Health Outcomes,0646898,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.8,15.4,,,78958,POINT(-120.477710571 37.3055863217),HLTHOUT,MHLTH,646898,,Mental Health
2015,CA,California,Milpitas,City,BRFSS,Health Outcomes,0647766,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.1,8.6,,,66790,POINT(-121.892083025 37.433869763),HLTHOUT,MHLTH,647766,,Mental Health
2015,CA,California,Mission Viejo,City,BRFSS,Health Outcomes,0648256,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.9,9.7,10.1,,,93305,POINT(-117.655029608 33.6095976891),HLTHOUT,MHLTH,648256,,Mental Health
2015,CA,California,Modesto,City,BRFSS,Health Outcomes,0648354,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.0,13.8,14.2,,,201165,POINT(-120.988548061 37.6615478221),HLTHOUT,MHLTH,648354,,Mental Health
2015,CA,California,Moreno Valley,City,BRFSS,Health Outcomes,0649270,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.0,13.8,14.1,,,193365,POINT(-117.204501895 33.9244314112),HLTHOUT,MHLTH,649270,,Mental Health
2015,AZ,Arizona,Avondale,City,BRFSS,Health Outcomes,0404720,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.7,12.4,12.9,,,76238,POINT(-112.323626619 33.3858367405),HLTHOUT,MHLTH,404720,,Mental Health
2015,CA,California,Mountain View,City,BRFSS,Health Outcomes,0649670,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.1,8.5,,,74066,POINT(-122.079544343 37.3999252379),HLTHOUT,MHLTH,649670,,Mental Health
2015,CA,California,Murrieta,City,BRFSS,Health Outcomes,0650076,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.4,11.1,11.7,,,103466,POINT(-117.190921143 33.5719743356),HLTHOUT,MHLTH,650076,,Mental Health
2015,CA,California,Napa,City,BRFSS,Health Outcomes,0650258,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.2,11.9,12.5,,,76915,POINT(-122.301093331 38.2980424649),HLTHOUT,MHLTH,650258,,Mental Health
2015,CA,California,Newport Beach,City,BRFSS,Health Outcomes,0651182,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.7,9.2,,,85186,POINT(-117.867364631 33.6150103607),HLTHOUT,MHLTH,651182,,Mental Health
2015,CA,California,Norwalk,City,BRFSS,Health Outcomes,0652526,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.4,12.1,12.6,,,105549,POINT(-118.082915204 33.9068808228),HLTHOUT,MHLTH,652526,,Mental Health
2015,CA,California,Oakland,City,BRFSS,Health Outcomes,0653000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.2,12.1,12.3,,,390724,POINT(-122.214859257 37.790878035),HLTHOUT,MHLTH,653000,,Mental Health
2015,CA,California,Oceanside,City,BRFSS,Health Outcomes,0653322,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.0,11.8,12.2,,,167086,POINT(-117.308200285 33.2247457474),HLTHOUT,MHLTH,653322,,Mental Health
2015,CA,California,Ontario,City,BRFSS,Health Outcomes,0653896,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.4,13.2,13.6,,,163924,POINT(-117.606427103 34.0392649464),HLTHOUT,MHLTH,653896,,Mental Health
2015,CA,California,Orange,City,BRFSS,Health Outcomes,0653980,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.3,11.7,,,136416,POINT(-117.8231855 33.8046419567),HLTHOUT,MHLTH,653980,,Mental Health
2015,CA,California,Oxnard,City,BRFSS,Health Outcomes,0654652,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13.3,13.8,,,197899,POINT(-119.18187657 34.1959237731),HLTHOUT,MHLTH,654652,,Mental Health
2015,CA,California,Palmdale,City,BRFSS,Health Outcomes,0655156,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.5,14.3,14.7,,,152750,POINT(-118.105772328 34.5944899803),HLTHOUT,MHLTH,655156,,Mental Health
2015,CA,California,Pasadena,City,BRFSS,Health Outcomes,0656000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.5,10.4,10.7,,,137122,POINT(-118.138921644 34.1597634806),HLTHOUT,MHLTH,656000,,Mental Health
2015,CA,California,Perris,City,BRFSS,Health Outcomes,0656700,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.6,15.5,,,68386,POINT(-117.223291831 33.7897346094),HLTHOUT,MHLTH,656700,,Mental Health
2015,CA,California,Pleasanton,City,BRFSS,Health Outcomes,0657792,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.6,8.3,8.8,,,70285,POINT(-121.880775002 37.6656092171),HLTHOUT,MHLTH,657792,,Mental Health
2015,CA,California,Pomona,City,BRFSS,Health Outcomes,0658072,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.8,13.6,14.1,,,149058,POINT(-117.762551658 34.0585026366),HLTHOUT,MHLTH,658072,,Mental Health
2015,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.2,10.0,10.3,,,236123,POINT(-111.852210033 33.28318981),HLTHOUT,MHLTH,412000,,Mental Health
2015,CA,California,Rancho Cucamonga,City,BRFSS,Health Outcomes,0659451,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.5,10.8,,,165269,POINT(-117.56617587 34.1245895555),HLTHOUT,MHLTH,659451,,Mental Health
