year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Unhealthy Behaviors,0177256,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,34.8,34.2,35.4,,,90468,POINT(-87.5268004073 33.2336083951),UNHBEH,LPA,177256,,Physical Inactivity
2015,CA,California,Los Angeles,City,BRFSS,Unhealthy Behaviors,0644000,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.8,22.8,22.9,,,3792621,POINT(-118.408500088 34.1182277898),UNHBEH,LPA,644000,,Physical Inactivity
2015,AK,Alaska,Anchorage,City,BRFSS,Unhealthy Behaviors,0203000,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.3,22.1,22.6,,,291826,POINT(-149.111113424 61.149868731),UNHBEH,LPA,203000,,Physical Inactivity
2015,CA,California,Lynwood,City,BRFSS,Unhealthy Behaviors,0644574,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.3,29.6,30.9,,,69772,POINT(-118.201648375 33.9239616867),UNHBEH,LPA,644574,,Physical Inactivity
2015,CA,California,Manteca,City,BRFSS,Unhealthy Behaviors,0645484,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.5,23.1,24.0,,,67096,POINT(-121.231230612 37.7961925102),UNHBEH,LPA,645484,,Physical Inactivity
2015,CA,California,Menifee,City,BRFSS,Unhealthy Behaviors,0646842,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.2,21.8,22.6,,,77519,POINT(-117.18487699 33.6909533045),UNHBEH,LPA,646842,,Physical Inactivity
2015,CA,California,Merced,City,BRFSS,Unhealthy Behaviors,0646898,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.5,25.0,25.9,,,78958,POINT(-120.477710571 37.3055863217),UNHBEH,LPA,646898,,Physical Inactivity
2015,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,0647766,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.6,18.0,19.1,,,66790,POINT(-121.892083025 37.433869763),UNHBEH,LPA,647766,,Physical Inactivity
2015,CA,California,Mission Viejo,City,BRFSS,Unhealthy Behaviors,0648256,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,14.8,15.5,,,93305,POINT(-117.655029608 33.6095976891),UNHBEH,LPA,648256,,Physical Inactivity
2015,CA,California,Modesto,City,BRFSS,Unhealthy Behaviors,0648354,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.9,23.6,24.2,,,201165,POINT(-120.988548061 37.6615478221),UNHBEH,LPA,648354,,Physical Inactivity
2015,AZ,Arizona,Avondale,City,BRFSS,Unhealthy Behaviors,0404720,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,27.5,27.1,28.0,,,76238,POINT(-112.323626619 33.3858367405),UNHBEH,LPA,404720,,Physical Inactivity
2015,CA,California,Moreno Valley,City,BRFSS,Unhealthy Behaviors,0649270,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,26.9,26.7,27.2,,,193365,POINT(-117.204501895 33.9244314112),UNHBEH,LPA,649270,,Physical Inactivity
2015,CA,California,Mountain View,City,BRFSS,Unhealthy Behaviors,0649670,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.0,14.6,15.3,,,74066,POINT(-122.079544343 37.3999252379),UNHBEH,LPA,649670,,Physical Inactivity
2015,CA,California,Murrieta,City,BRFSS,Unhealthy Behaviors,0650076,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.9,19.4,20.3,,,103466,POINT(-117.190921143 33.5719743356),UNHBEH,LPA,650076,,Physical Inactivity
2015,CA,California,Napa,City,BRFSS,Unhealthy Behaviors,0650258,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.6,19.2,20.0,,,76915,POINT(-122.301093331 38.2980424649),UNHBEH,LPA,650258,,Physical Inactivity
2015,CA,California,Newport Beach,City,BRFSS,Unhealthy Behaviors,0651182,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,12.6,13.3,,,85186,POINT(-117.867364631 33.6150103607),UNHBEH,LPA,651182,,Physical Inactivity
2015,CA,California,Norwalk,City,BRFSS,Unhealthy Behaviors,0652526,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.6,23.2,24.1,,,105549,POINT(-118.082915204 33.9068808228),UNHBEH,LPA,652526,,Physical Inactivity
