year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.5,15.2,15.9,,,90468,POINT(-87.5268004073 33.2336083951),HLTHOUT,PHLTH,177256,,Physical Health
2015,CA,California,Los Angeles,City,BRFSS,Health Outcomes,0644000,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.3,13.3,13.4,,,3792621,POINT(-118.408500088 34.1182277898),HLTHOUT,PHLTH,644000,,Physical Health
2015,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.2,10.1,10.3,,,291826,POINT(-149.111113424 61.149868731),HLTHOUT,PHLTH,203000,,Physical Health
2015,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.1,17.6,18.6,,,69772,POINT(-118.201648375 33.9239616867),HLTHOUT,PHLTH,644574,,Physical Health
2015,CA,California,Manteca,City,BRFSS,Health Outcomes,0645484,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,12.7,13.2,,,67096,POINT(-121.231230612 37.7961925102),HLTHOUT,PHLTH,645484,,Physical Health
2015,CA,California,Menifee,City,BRFSS,Health Outcomes,0646842,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.3,12.0,12.5,,,77519,POINT(-117.18487699 33.6909533045),HLTHOUT,PHLTH,646842,,Physical Health
2015,CA,California,Merced,City,BRFSS,Health Outcomes,0646898,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.1,16.8,17.5,,,78958,POINT(-120.477710571 37.3055863217),HLTHOUT,PHLTH,646898,,Physical Health
2015,CA,California,Milpitas,City,BRFSS,Health Outcomes,0647766,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.1,8.6,,,66790,POINT(-121.892083025 37.433869763),HLTHOUT,PHLTH,647766,,Physical Health
2015,CA,California,Mission Viejo,City,BRFSS,Health Outcomes,0648256,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.0,8.7,9.2,,,93305,POINT(-117.655029608 33.6095976891),HLTHOUT,PHLTH,648256,,Physical Health
2015,CA,California,Modesto,City,BRFSS,Health Outcomes,0648354,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.5,14.3,14.7,,,201165,POINT(-120.988548061 37.6615478221),HLTHOUT,PHLTH,648354,,Physical Health
2015,CA,California,Moreno Valley,City,BRFSS,Health Outcomes,0649270,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.8,14.7,15.0,,,193365,POINT(-117.204501895 33.9244314112),HLTHOUT,PHLTH,649270,,Physical Health
2015,CA,California,Mountain View,City,BRFSS,Health Outcomes,0649670,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.9,7.7,8.1,,,74066,POINT(-122.079544343 37.3999252379),HLTHOUT,PHLTH,649670,,Physical Health
2015,AZ,Arizona,Avondale,City,BRFSS,Health Outcomes,0404720,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13.4,13.9,,,76238,POINT(-112.323626619 33.3858367405),HLTHOUT,PHLTH,404720,,Physical Health
2015,CA,California,Murrieta,City,BRFSS,Health Outcomes,0650076,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.4,10.9,,,103466,POINT(-117.190921143 33.5719743356),HLTHOUT,PHLTH,650076,,Physical Health
