year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2015,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,177256,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.2,4.1,4.3,,,90468,POINT(-87.5268004073 33.2336083951),HLTHOUT,STROKE,177256,,Stroke
2015,CA,California,Los Angeles,City,BRFSS,Health Outcomes,644000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3,3,3.1,,,3792621,POINT(-118.408500088 34.1182277898),HLTHOUT,STROKE,644000,,Stroke
2015,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,203000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.6,2.5,2.6,,,291826,POINT(-149.111113424 61.149868731),HLTHOUT,STROKE,203000,,Stroke
2015,CA,California,Lynwood,City,BRFSS,Health Outcomes,644574,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4,3.9,4.1,,,69772,POINT(-118.201648375 33.9239616867),HLTHOUT,STROKE,644574,,Stroke
2015,CA,California,Manteca,City,BRFSS,Health Outcomes,645484,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.8,2.8,2.9,,,67096,POINT(-121.231230612 37.7961925102),HLTHOUT,STROKE,645484,,Stroke
2015,CA,California,Menifee,City,BRFSS,Health Outcomes,646842,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.7,2.7,2.8,,,77519,POINT(-117.18487699 33.6909533045),HLTHOUT,STROKE,646842,,Stroke
2015,CA,California,Merced,City,BRFSS,Health Outcomes,646898,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.7,3.6,3.8,,,78958,POINT(-120.477710571 37.3055863217),HLTHOUT,STROKE,646898,,Stroke
2015,CA,California,Milpitas,City,BRFSS,Health Outcomes,647766,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,1.9,1.9,2,,,66790,POINT(-121.892083025 37.433869763),HLTHOUT,STROKE,647766,,Stroke
2015,CA,California,Mission Viejo,City,BRFSS,Health Outcomes,648256,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2,1.9,2.1,,,93305,POINT(-117.655029608 33.6095976891),HLTHOUT,STROKE,648256,,Stroke
2015,CA,California,Modesto,City,BRFSS,Health Outcomes,648354,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.2,3.1,3.2,,,201165,POINT(-120.988548061 37.6615478221),HLTHOUT,STROKE,648354,,Stroke
